ds,yhat,yhat_lower,yhat_upper
2022-03-24,43.91123441414221,37.451055432195524,50.099011010355404
2022-03-25,44.03646685255897,37.76824382778253,50.475367728271415
2022-03-28,43.51627568214508,37.477080767636515,49.56257528950648
2022-03-29,44.218651278297955,37.67319649420859,50.740495367029325
2022-03-30,43.66385842866406,37.79650923848535,49.850662336732974
2022-03-31,44.02807173778294,37.308941027872024,50.53113686289219
2022-04-01,44.112949310205195,37.92036483900427,50.43877640679485
2022-04-04,43.41375108592905,37.37212214395844,49.90018057237319
2022-04-05,44.041568794625576,38.354910739457345,50.05053735941008
2022-04-06,43.40756124720097,36.67403419879749,48.996683795483385
2022-04-07,43.689849093035306,37.35263380491027,50.439542880289004
2022-04-08,43.69216180002142,37.21553436856954,50.25692439287288
2022-04-11,42.76304715581804,36.46727166195309,49.24814068299378
2022-04-12,43.327313558984876,37.30885636506411,49.87021582194255
2022-04-13,42.63968373575043,36.021024487253605,48.757438029548666
2022-04-14,42.880091073125286,36.60355206524773,48.73464222047703
2022-04-15,42.85385986081335,36.24761603656413,49.517277652428454
2022-04-18,41.93131886311669,35.7693813292272,47.80272678653575
2022-04-19,42.531037256710306,36.157835246206524,48.94643260685614
2022-04-20,41.895918926077705,35.54130138765592,47.853167005176466
2022-04-21,42.205629607684024,36.016856746916794,48.5386863993525
2022-04-22,42.26488311592518,36.021976231487805,48.698019316588166
2022-04-25,41.684571575833026,35.39633241288408,48.00428058888897
2022-04-26,42.42166777729816,36.44188205469124,48.4602746863715
2022-04-27,41.932267534942376,35.28603737099627,48.66568015297321
2022-04-28,42.393730097189106,36.15029028843156,48.85890031472907
2022-04-29,42.60831069801148,36.135058542391306,48.78791204087803
2022-05-02,42.48959722584707,36.41118938495666,48.75278746824603
2022-05-03,43.370428633554475,37.22303121266815,50.061889370139035
2022-05-04,43.015513255246525,36.64769863064935,49.009439677627135
2022-05-05,43.59989280882545,36.86081981864747,50.02451048877324
2022-05-06,43.9236977319743,37.63568596075458,50.450599206692864
2022-05-09,44.03295168967933,37.88707760873932,50.78754199672211
2022-05-10,44.952137949309126,38.60788616612681,51.34940928735566
2022-05-11,44.61536596450801,38.03475714870085,51.01969740220134
2022-05-12,45.19735309241416,38.518620730920325,51.14445329236237
2022-05-13,45.49825326106184,38.95337145899563,52.0313454925785
2022-05-16,45.42102576111497,39.486780206479985,52.19753733822569
2022-05-17,46.24214645634383,40.077708738977,52.95473771411318
2022-05-18,45.79174090258467,39.593734939927785,52.23530976259929
2022-05-19,46.24631967407425,39.884801333611215,53.38051678344758
2022-05-20,46.40802201655063,39.649734602134586,52.6630292566713
2022-05-23,45.86436096033701,39.60292610211532,51.928165531799905
2022-05-24,46.52141263247323,40.26573699207665,53.46833476380244
2022-05-25,45.90653571619601,40.0664727859442,51.98712769414312
2022-05-26,46.19852114199277,39.77457511674607,52.10293776698819
2022-05-27,46.20169865506363,39.19361888422551,52.29499748980598
2022-05-30,45.22674800092621,39.276009926702386,51.4023012242887
2022-05-31,45.76055463868519,39.59521508181884,52.068433102217995
2022-06-01,45.035057189773305,38.83844033230806,51.43299689690437
2022-06-02,45.2301349397103,38.93885578097959,51.41008576032979
2022-06-03,45.15096503906807,38.77857678724326,51.60722607134974
2022-06-06,44.02123042478769,37.550573608875176,50.29819112692351
2022-06-07,44.53466729670054,38.497032964312204,50.31004902503481
2022-06-08,43.80410617822966,38.235589598814585,50.08516914119581
2022-06-09,44.00893763085416,37.3008531827642,50.401336787944025
2022-06-10,43.953679030573994,37.725224397058795,50.59880012184881
2022-06-13,42.97182232167239,36.291753114165424,49.55171158082534
2022-06-14,43.55641259546709,37.1236081741704,49.79225567841583
2022-06-15,42.905956392254936,36.838478564185166,49.32723772023125
2022-06-16,43.198569515173936,37.33771566432327,49.486608294509615
2022-06-17,43.237463741761424,37.280827327898,49.83327995687882
2022-06-20,42.56313785688617,36.36679322800893,48.83742828525445
2022-06-21,43.254283953005,37.2416894937918,49.57845574749831
2022-06-22,42.710331548400205,36.68100059937621,49.34518633328013
2022-06-23,43.1082221063984,37.212545820584715,49.43738985569166
2022-06-24,43.25005152329916,36.69341667370668,49.57039772495297
2022-06-27,42.86031634177349,36.9677279915154,49.143946004150266
2022-06-28,43.6352290986646,36.74376717141027,49.60697116713105
2022-06-29,43.16817376458131,36.78407092488387,49.38271728147364
